a, Fruling'
2.50025 , 16.8946
2.50125 , 16.9096
2.50225 , 16.9246
2.50325 , 16.9396
2.50425 , 16.9545
2.50525 , 16.9695
2.50625 , 16.9844
2.50725 , 16.9993
2.50825 , 17.0142
2.50925 , 17.0291
2.51025 , 17.044
2.51125 , 17.0588
2.51225 , 17.0736
2.51325 , 17.0885
2.51425 , 17.1033
2.51525 , 17.118
2.51625 , 17.1328
2.51725 , 17.1475
2.51825 , 17.1623
2.51925 , 17.177
2.52025 , 17.1917
2.52125 , 17.2064
2.52225 , 17.221
2.52325 , 17.2357
2.52425 , 17.2503
2.52525 , 17.2649
2.52625 , 17.2795
2.52725 , 17.2941
2.52825 , 17.3087
2.52925 , 17.3232
2.53025 , 17.3377
2.53125 , 17.3522
2.53225 , 17.3667
2.53325 , 17.3812
2.53425 , 17.3957
